id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5226858012477872,QbgHnaoBG,5595984716,枫林残忆林小七,#兴趣创作计划美妆篇#梦想是照亮平凡的星童年的梦想总裹着糖霜般的甜。我七岁那年，在县城老电影院看了一场露天电影，银幕上宇航员漂浮在深蓝色的太空里，地球像一颗缀满光的玻璃弹珠悬在宇宙中。散场后，我攥着妈妈的手，仰头望着被路灯染成橘色的夜空，固执地说：“我要去摸那颗最大的星星。”妈妈笑着揉我的头发，没把这句孩子气的话当真，可那颗“星星”却落进了我心里，成了藏在铅笔盒最底层的秘密——一张画满歪扭火箭的草稿纸。后来我才知道，梦想不是踮脚就能摸到的星星，它更像埋在泥土里的种子，要穿过重重硬壳，才能顶开地面。初中时，我的物理成绩糟糕得让老师皱眉，电路图像缠绕的乱麻，受力分析总让我把“摩擦力”和“重力”弄混。有次月考，试卷上的红叉密密麻麻，我盯着那道关于“宇宙速度”的填空题，突然想起童年仰望星空的夜晚，眼泪没忍住砸在卷子上。那天放学，我没像往常一样跑去操场，而是把自己关在房间里，翻出爸爸旧书柜里的《天文爱好者》，一页页啃那些满是术语的文字，遇到不懂的就用红笔圈起来，第二天追着老师问。从“牛顿三定律”到“开普勒行星运动定律”，我用了整整半年，把物理课本翻得卷了边，草稿纸堆成了小山，终于在期末考里，拿到了第一个“优秀”。那天我把试卷叠好，压在童年的火箭草稿纸上，忽然明白：梦想不是空想的甜，是咬牙坚持的苦，熬过去，才能尝到一点回甘。高中的教室后墙，贴着每个人的“目标大学”。我在便利贴上写下“南京大学天文系”，贴在最显眼的位置。可现实的风，总在不经意间吹得人摇晃。高三上学期，一次模拟考我排名掉了五十多名，班主任找我谈话，语气恳切：“天文系分数高，就业面窄，你要不要考虑更稳妥的专业？”那天晚自习，我看着便利贴上的字，手指反复摩挲着“天文”两个字，心里像压了块石头。放学路上，我绕到学校的天文台，透过小小的望远镜，看到月亮上清晰的环形山，像被时光刻下的印章。忽然想起七岁那年，我以为星星是发光的石头；现在我知道，它们是燃烧的恒星，要穿越几万光年的黑暗，才能把光送到地球。我凭什么因为一点挫折，就放弃自己追寻了十年的光？从那以后，我把“稳妥”两个字从字典里删掉。每天清晨，我是教室里第一个开灯的人，借着晨光背英语单词；深夜，台灯下的习题册写满了演算的痕迹，困了就洗把冷水脸，抬头看看窗外的星星——它们还在亮着，我的梦想也该一样。有次感冒发烧，我抱着热水袋做题，头晕得厉害，却固执地不肯请假；过年时，家人围在一起看春晚，我躲在房间里刷真题，听着外面的笑声，心里却很踏实。我知道，那些看似孤独的坚持，都是在为梦想铺路，每多做一道题，就离那颗“星星”近一步。高考放榜那天，我握着手机的手在发抖，当“南京大学天文系”这行字跳出来时，我忽然蹲在地上哭了，不是因为终于实现了梦想，而是想起那些在黑暗里咬牙前行的日子，想起童年的自己仰望星空的模样。现在的我，会在实验室里对着数据熬到深夜，会跟着老师去天文台观测流星雨，当望远镜里的星星清晰地展现在眼前时，我总会想起七岁那年的夜晚——原来梦想从来不是摸得到的星星，而是照亮我走过平凡岁月的光。它让我在成绩糟糕时不放弃，在别人质疑时不退缩，在无数个疲惫的深夜里，依然有勇气相信：只要朝着光的方向走，哪怕走得慢一点，也终将抵达。这就是梦想的意义吧——它不是遥不可及的奇迹，是藏在每个平凡人心里的火种，只要你愿意为它添柴，它就会烧得越来越旺，照亮你走过的每一步路。,,,,兴趣创作计划美妆篇,0,0,3,2025-10-28 22:58,vivo S12 Pro,,,,,普通用户,非会员,0
5226854694786468,QbgC1k5b6,5838732510,就说喜欢吃葡萄吧,26新传考研必看：这些985院校的招生人数你一定要知道！！！！从上述招生数据来看，985院校在学硕以推免为主的情况下，专硕则给各位考生留足了统考名额，且近年来存在专硕扩招趋势。中央民族大学（专硕）、复旦大学（专硕）、南京大学（专硕）、北京师范大学（专硕）、湖南大学（专硕）、四川大学（专硕）等院校的统招人数较多。2026年，985新传院校中，专硕招生人数超过20人的有18所院校。其中，中央民族大学统招专硕101人，按照民大以往在最终录取阶段扩招的惯例来看，或许还会有惊喜喜（扩招迹象）。#考研打卡##研究生##新传考研#新传考研超话#新传##考研#,,,,"考研打卡,研究生,新传考研,新传,考研",0,0,0,2025-10-28 22:45,小米11,"https://wx1.sinaimg.cn/large/006n8J30ly1i6sh2l7obxj30qg1f046a.jpg,https://wx4.sinaimg.cn/large/006n8J30ly1i6sh2nj13gj30ri1luqch.jpg",,,,普通用户,非会员,0
5226853465588946,QbgA2nrWi,5619543671,是Ustinian鸭,南京大学钙钛矿叠层太阳能电池效率突破30%大关研究背景与成果•10月28日消息，据媒体报道，南京大学助理教授林仁兴与教授谭海仁团队设计出一种基于偶极钝化策略的全钙钛矿叠层太阳能电池，其光电转换效率经日本电气安全和环境技术实验室认证，高达30.1%，标志着多晶薄膜太阳能电池的光电转化效率首次突破30%大关。效率提升的限制因素•目前，全钙钛矿叠层电池的效率提升主要受限于开路电压和填充因子偏小。•论文第一作者兼通讯作者林仁兴指出，在铅—锡混合窄带隙钙钛矿电池中，实现高短路电流密度的同时难以兼顾较高的开路电压和填充因子，是制约效率的关键瓶颈。偶极钝化层的引入•为解决该问题，研究团队在钙钛矿与空穴传输层界面引入了一种具有正偶极取向的偶极钝化层。•林仁兴解释，该钝化层可有效调节界面能级结构，促使载流子形成有利的排列方式，从而增强空穴抽取能力，减少非辐射复合，提升载流子传输性能。偶极钝化层的优化•然而，偶极钝化层在后续工艺中易受损，且取向难以精确控制，限制了其实际应用效果。•论文共同通讯作者谭海仁介绍，团队在探明钙钛矿与空穴传输层的组成与缺陷类型后，针对性开发出基于短链刚性芳香苯环的偶极钝化分子——对氨基苯磺酸，通过结构设计成功构建出取向可控、加工耐受性强的偶极层。研究意义•林仁兴表示：“该钝化策略推动了新型钙钛矿光伏技术从实验室迈向产业化，对光伏技术构建‘平价电网’具有重要意义。”#太阳能电池#,,,,太阳能电池,0,0,0,2025-10-28 22:40,三星Galaxy S23 Ultra,https://wx4.sinaimg.cn/large/0068j219gy1i6sgxtodnrj30go09mn0m.jpg,,,,普通用户,非会员,0
5226851917365719,QbgxxuU9V,1294978291,乐老师聊高考,高考志愿填报指南超话2025软科中国最好学科——法学学科，广东高校表现如何？10月15日，高等教育评价专业机构软科正式发布“2025软科中国最好学科排名”，6所高校法学学科进入A+（前3%）学科，分别为中国政法大学、武汉大学、中国人民大学、西南政法大学、华东政法大学和北京大学。广东高校表现最好的是中山大学，进入前12%（A-），全国排名第21位，与南京大学、西安交通大学、北京师范大学等并列。令人惊喜的是广东外语外贸大学，法学学科进入A-类，全国排名第25位。力压湖南大学、天津大学、华东师范大学和重庆大学等985高校。在省内高校中则力压华南理工大学、暨南大学、广州大学等。华南理工大学法学一直不太显山露水，此次软科排名表现不俗。进入前20%（B+），全国位居33位。深圳大学法学学科表现中规中矩，此次软科排名43位，进入前30%，与北京理工大学、对外经济贸易大学和中央财经大学等平级。广州大学法学学科进步明显，软科排名49位，进入前30%，与暨南大学、华中科技大学、安徽大学等高校平级。一向表现不错的暨南大学法学学科，本次软科排名47位，略高于广州大学，但低于广东外语外贸大学和深圳大学这两所双非大学。广东财经大学法学学科一直是其优势学科，奈何一直没有获得一级学科博士点，影响其全国排名，此次软科排名第66位，不算亮眼，也不算太差。其他上榜的广东高校还有华南师范大学，全国排名第69位。至于华南农业大学、广东工业大学、汕头大学等，则遗憾落榜。,,,,,0,0,0,2025-10-28 22:34,高考志愿填报指南超话,https://wx2.sinaimg.cn/large/4d2fccf3gy1i6sgrgqzsdj20u07h1ke5.jpg,,,,黄V,会员,7
5226849018055235,QbgsRxNx9,3957051581,南京市科学技术局,【我国太赫兹探测钙钛矿光伏技术登上权威期刊《自然》】我国下一代光伏技术取得新进展，南京大学谭海仁团队和国防科技创新研究院常超团队联合运用太赫兹技术，对全钙钛矿叠层光伏电池内部载流子输运行为实现精准、无损探测。改进后的电池光电转化效率突破30%，国际权威学术期刊《自然》10月28日在线发表相关研究论文。O网页链接（来源：新华社、江苏科技；编辑：刘洋；审核：王晓荣；发布：钱宸）,,,,,0,0,0,2025-10-28 22:22,微博网页版,https://wx3.sinaimg.cn/large/ebdbd0bdly1i6sgf9w7upj20rs0fngt7.jpg,,,,蓝V,非会员,0
5226847008982099,QbgpCBGEz,6020516658,育见新闻,#育见CETV#【2025年10月28日CETV1《育见》】今天播出《语文教科书中的古诗文为什么会有版本差异？》【主要内容】语文教材中的古诗文，是穿越了千百年的时间长廊，抵达我们眼前的文字瑰宝。它们最初被书写时，就是今日的模样吗？为何课本中的某些篇章，会与我们记忆中的其他版本，存在微妙的差异？面对这些承载着文明基因的文字，我们今日又该如何解读、如何传承？今天，我们共同《育见》南京大学教授柳士镇，义务教育语文教材编委会主任、北京师范大学教授王立军，一同探寻古诗文背后的生命轨迹。敬请关注！育见新闻的微博直播,,,,育见CETV,0,0,0,2025-10-28 22:15,微博直播平台,,,,,普通用户,会员,8
5226845751480735,QbgnB6dcP,1768409523,南京大学,#晚安南大#生活或许会有遗憾，但未来永远充满希望。愿你好梦相伴。晚安，南京大学。,,,,晚安南大,2,6,17,2025-10-28 22:10,微博网页版,https://wx1.sinaimg.cn/large/6967c9b3gy1i6r5v7mbz7j20iz0sgnmb.jpg,,,,蓝V,超级会员,1
5226843243546101,QbgjyeSvb,1708159150,中国大学生在线,#有个好梦#晚风已为你理清纷繁的思绪，流萤将为你引路。沿着星光的指引，走向你的甜梦吧。晚安～（via.@南京大学）,,,南京大学,有个好梦,1,9,7,2025-10-28 22:00,周一小中妹HarmonyOS设备,https://wx2.sinaimg.cn/large/65d070aely1i6r3m2yfjej20sg0izmyf.jpg,,,,蓝V,超级会员,1
5226828869669020,QbfWmEzlW,2054535795,热剧汪,这是吴石将军的遗孀王碧奎与四个孩子在一起。王碧奎的几个孩子都非常的长寿。长子吴韶成曾考入南京大学经济系，并一直在河南工作。后来，吴韶成前往美国探亲，并带回父亲吴石曾在狱中秘密写于画册背面的绝笔书。2015年，吴韶成病逝，享年88岁。长女吴兰成毕业于上海第一医学院，后一直在医疗系统工作。她与哥哥吴韶成曾一起前往美国探亲，见到母亲王碧奎与弟弟妹妹。2020年，吴兰成病逝，享年89岁。次女吴学成，在父亲吴石牺牲后，不得不辍学从事缝补工作，一边补贴家用，一边供应弟弟读书。她早早地结婚，成了家里的顶梁柱。2019年，吴学成病逝，享年85岁。幼子吴建成，在父亲牺牲后，吴建成与姐姐吴学成曾一度流落街头。后姐姐吴学成靠缝补供应吴建成上学。1977年，吴建成从大学毕业后，获得全额奖学金前往美国留学。当他获得硕士学位后将母亲接到美国。1981年，吴家人在美国团聚。L热剧汪的微博视频,,,,,22,15,185,2025-10-28 21:02,微博视频号,,"http://f.video.weibocdn.com/o0/CN2s8vyUlx08sxx8crAk010412007Xzf0E010.mp4?label=mp4_720p&template=736x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1761985118&ssig=fb8Tm%2BNmnO&KID=unistore,video",,,金V,超级会员,2
5226827077389748,QbfTtv0pu,7690679129,豆包布朗熊,高考考上二本西京大学，退学复读考上南京大学，研究生考上北京大学，博士出国读东京大学。未来会出现这样的传奇吗？O网页链接,,,,,0,0,0,2025-10-28 20:55,Android,,,,,普通用户,非会员,0
5226816904106574,QbfD4hej4,6215957955,博学视界,#郑炳-经济学与金融专硕考研直播#@郑炳-经济学与金融专硕考研考研专业课备考冲刺阶段，真题训练与论述题预测方法，结合考试大纲和命题趋势进行针对性复习，关注货币政策等高频考点。L博学视界的微博视频,,,郑炳-经济学与金融专硕考研,郑炳-经济学与金融专硕考研直播,0,0,0,2025-10-28 20:15,微博视频号,,"http://f.video.weibocdn.com/o0/VW1GkIcblx08sxtP8AIU01041200b98y0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1761985132&ssig=TeG6kcx64E&KID=unistore,video",,,黄V,非会员,0
5226814496571552,QbfzbrzyM,1709951635,哈尔滨日报,【#南大开课做古籍文创首场21秒抢空#】#南京大学图书馆又整活#还记得圈粉南大学子的“何以补苍天”古籍修复体验课吗？今年，@南京大学图书馆上线可爱的小书——微古籍订线体验活动，在古籍特藏部文献修复中心老师的带领下，同学们成为“古籍小工匠”，沉浸式感受古籍文化的魅力，打造专属于自己的独家文创，称霸“手作江湖”。这是南京大学图书馆本学期开设的劳动教育课程，课程中，同学们需要穿针引线，以四眼线装书订线方法将迷你“古籍”装订成册。贴上磁贴，一本独一无二的迷你古籍线装书冰箱贴就诞生了。这门课程十分火爆，21秒首节课程名额就一抢而空，毕竟，哪个“古籍小工匠”能拒绝一本“可爱的小书”呢？L现代快报的微博视频,,南京,南京大学,"南大开课做古籍文创首场21秒抢空,南京大学图书馆又整活",0,1,1,2025-10-28 20:05,微博视频号,,"http://f.video.weibocdn.com/o0/ibTjfyF5lx08sxp2sutq01041200jXed0E010.mp4?label=mp4_hd&template=480x854.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1761985132&ssig=3yRoPrUGJB&KID=unistore,video",,,普通用户,超级会员,1
5226813275769951,Qbfxdod1J,1191965271,三联生活周刊,【#985硕士女生多了#】#专家建议谨慎对待高等教育扩招#据经济观察报报道，从8月中旬至今，多所985高校陆续公布2025年新生大数据。作为中国最顶尖的一批高校，它们的招生数据变化，能在一定程度上反映国内高精尖教育的趋势。梳理2019年至今的985高校新生数据可见，绝大多数985高校研究生（“硕士+博士”）招生规模已超本科；在复旦大学、上海交通大学等高校中，两者差距甚至在一倍以上。同时，985高校研究生扩招增速也明显快于本科，浙江大学、中山大学、四川大学等高校研究生招生规模已超1万人。在985高校的本、硕、博阶段，男女比例（男性新生/女性新生）呈现“V”形波动：本科新生中，绝大多数985高校稳定为“男多女少”，电子科技大学、西北工业大学等理工类985高校的男生占比多在2/3以上；硕士新生中，女性占比相比本科显著提升，兰州大学、南京大学等出现“硕士新生男少女多”现象；博士新生中，男女比例再次扩大，男生新生数量再次大幅反超女性。暨南大学经济与社会研究院院长冯帅章表示，从长远看，高等教育扩张对人才培养、人力资本水平的提升具有重要意义。目前，由于高考人数有望逐年上升，高等教育体系仍存在较强的扩招动力。但近几年，研究生宿舍资源紧张、大班授课成为常态等扩招“后遗症”屡见不鲜。因此，建议谨慎对待高等教育的扩招。如果需要在质量和数量间取舍，应优先保障培养质量。二十一世纪教育研究院院长熊丙奇表示，未来10余年本科和研究生预计会持续扩招，因此根据出生人口推算，2040年左右中国所有考生或可上本科，30%的适龄学生可读研究生。但实际上，社会不需要这么多学术型人才，这可能导致大量拥有研究生学历的毕业生，从事仅需本科、专科学历的工作。,,,,"985硕士女生多了,专家建议谨慎对待高等教育扩招",28,21,129,2025-10-28 20:00,微博网页版,"https://wx3.sinaimg.cn/large/001iFmCjly1i6scb59ok7j60hg084mye02.jpg,https://wx2.sinaimg.cn/large/001iFmCjly1i6scb96renj60dy0di75p02.jpg",,,,蓝V,超级会员,3
5226810142625434,Qbfsab0ZI,7729521870,小谭---Seven,【盼雪的时刻又来了】根据南京大学气候预测研究重点实验室发布的次季节（25/26冬）的最新模型预测，全国大部偏冷，北方、长江流域降水偏多，有利冷冬，再加上拉尼娜加持，个人认为这很有可能一个千载难逢的冷冬年。再根据月亮赤纬角测算，可能会有寒冷之兆，不要看今年热的久入秋晚，这并不影响冷冬发生的可能性哦。福建中北部降雪机会大增，福州也有下雪的机会！以圆福建2024年部分地区低海拔平地没有积雪的遗憾！#气象信息##今年冬天会是冷冬吗#附一张：福建省建国后各地最大积雪深度分布图，何时才能纷纷扬扬下场鹅毛大雪呢？,,,,"气象信息,今年冬天会是冷冬吗",0,15,25,2025-10-28 19:48,魅族 17 Pro,"https://wx3.sinaimg.cn/large/008r6hJAgy1i6sbjjm2hbj32go1jgtph.jpg,https://wx3.sinaimg.cn/large/008r6hJAgy1i6sbr16vi5j30sg0e8ard.jpg,https://wx4.sinaimg.cn/large/008r6hJAgy1i6sbr1imkjj30lc0aodhu.jpg,https://wx1.sinaimg.cn/large/008r6hJAgy1i6sbr1u3huj30lc0aoac6.jpg,https://wx4.sinaimg.cn/large/008r6hJAgy1i6sbr24pwjj30lc0ao40v.jpg,https://wx1.sinaimg.cn/large/008r6hJAgy1i6sbr2fwv7j30lc0ao76o.jpg,https://wx4.sinaimg.cn/large/008r6hJAgy1i6sbw4z6tpj31400u0wna.jpg,https://wx3.sinaimg.cn/large/008r6hJAgy1i6sbxapp57j318g1buahx.jpg",,,,普通用户,非会员,0
5226806632515364,Qbfmvaymo,7784023204,萌祎猫卷,"食堂让同学们点自己想吃的菜，大学生：那我就不客气了哈！""大学生""南京大学食堂点菜牌太好笑了L萌祎猫卷的微博视频",,,,,0,0,14,2025-10-28 19:34,微博视频号,,"http://f.video.weibocdn.com/o0/YZpXyiZ1lx08sxr4Bfsc010412007rQJ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1761985132&ssig=2yElpyVNNR&KID=unistore,video",,,红V,超级会员,1
5226806631210500,Qbfmv54Uc,7837848385,现代Plus,【#南大开课做古籍文创首场21秒抢空#】#南京大学图书馆又整活#还记得圈粉南大学子的“何以补苍天”古籍修复体验课吗？今年，@南京大学图书馆上线可爱的小书——微古籍订线体验活动，在古籍特藏部文献修复中心老师的带领下，同学们成为“古籍小工匠”，沉浸式感受古籍文化的魅力，打造专属于自己的独家文创，称霸“手作江湖”。这是南京大学图书馆本学期开设的劳动教育课程，课程中，同学们需要穿针引线，以四眼线装书订线方法将迷你“古籍”装订成册。贴上磁贴，一本独一无二的迷你古籍线装书冰箱贴就诞生了。这门课程十分火爆，21秒首节课程名额就一抢而空，毕竟，哪个“古籍小工匠”能拒绝一本“可爱的小书”呢？L现代快报的微博视频,,南京,南京大学,"南大开课做古籍文创首场21秒抢空,南京大学图书馆又整活",0,0,0,2025-10-28 19:34,微博视频号,,"http://f.video.weibocdn.com/o0/ibTjfyF5lx08sxp2sutq01041200jXed0E010.mp4?label=mp4_hd&template=480x854.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1761985132&ssig=3yRoPrUGJB&KID=unistore,video",,,普通用户,非会员,0
5226806614430296,QbfmtiAwo,6536846182,现代快报快快看视频,【#南大开课做古籍文创首场21秒抢空#】#南京大学图书馆又整活#还记得圈粉南大学子的“何以补苍天”古籍修复体验课吗？今年，@南京大学图书馆上线可爱的小书——微古籍订线体验活动，在古籍特藏部文献修复中心老师的带领下，同学们成为“古籍小工匠”，沉浸式感受古籍文化的魅力，打造专属于自己的独家文创，称霸“手作江湖”。这是南京大学图书馆本学期开设的劳动教育课程，课程中，同学们需要穿针引线，以四眼线装书订线方法将迷你“古籍”装订成册。贴上磁贴，一本独一无二的迷你古籍线装书冰箱贴就诞生了。这门课程十分火爆，21秒首节课程名额就一抢而空，毕竟，哪个“古籍小工匠”能拒绝一本“可爱的小书”呢？L现代快报的微博视频,,南京,南京大学,"南大开课做古籍文创首场21秒抢空,南京大学图书馆又整活",0,0,0,2025-10-28 19:34,微博视频号,,"http://f.video.weibocdn.com/o0/ibTjfyF5lx08sxp2sutq01041200jXed0E010.mp4?label=mp4_hd&template=480x854.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1761985132&ssig=3yRoPrUGJB&KID=unistore,video",,,普通用户,会员,7
5226804526717001,Qbfj6sboJ,1641561812,经济观察报,【奋进的女同学们：985硕士女生多了！】#985女硕士多了#从8月中旬至今，多所985高校陆续公布2025年新生大数据。作为中国最顶尖的一批高校，它们的招生数据变化，能在一定程度上反映国内高精尖教育的趋势。20世纪末，教育部提出创建世界一流大学和高水平大学，并将其命名为“985工程”，相关高校现俗称“985高校”。截至目前，985高校共39所。2019年11月，教育部官网提及，已将“211工程”和“985工程”等重点建设项目统筹为“双一流”建设。梳理2019年至今的985高校新生数据可见，绝大多数985高校研究生（“硕士+博士”）招生规模已超本科；在复旦大学、上海交通大学等高校中，两者差距甚至在一倍以上。同时，985高校研究生扩招增速也明显快于本科，浙江大学、中山大学、四川大学等高校研究生招生规模已超1万人。在985高校的本、硕、博阶段，男女比例（男性新生/女性新生）呈现“V”形波动：本科新生中，绝大多数985高校稳定为“男多女少”，电子科技大学、西北工业大学等理工类985高校的男生占比多在2/3以上；硕士新生中，女性占比相比本科显著提升，兰州大学、南京大学等出现“硕士新生男少女多”现象；博士新生中，男女比例再次扩大，男生新生数量再次大幅反超女性。O网页链接,,,,985女硕士多了,3,0,7,2025-10-28 19:26,微博网页版,https://wx3.sinaimg.cn/large/001N5Pdqly1i6sbb9jgwxj60u00hy41x02.jpg,,,,蓝V,超级会员,1
5226803087017527,QbfgMtrzV,2884463932,旅行中拒绝旅行,转：“叶子铭与中国现当代文学学科建设”研讨会在南京大学召开O网页链接O网页链接,,,,,0,0,0,2025-10-28 19:20,微博分享,,,,,黄V,会员,5
